"__mclCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMMON","Degree","degree.layout","Eccentricity","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","isExcludedFromPaths","IsSingleNode","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"21","1.0","0.0","1.0","0.0","YPL201C","1","1","1","2.058","6.0394E-10","1.18","8.9209E-7","0.597","0.0043411","false","false",,"Unclustered","0.0","YPL201C","1.0","0","1","0","1.0","false","0","YPL201C","0","0.0"
"21","1.0","0.0","1.0","0.0","HOR2","1","1","1","-0.486","3.7312E-10","-0.942","1.2051E-8","0.359","5.8643E-6","false","false",,"Unclustered","0.0","YER062C","1.0","0","1","0","1.0","false","0","YER062C","0","0.0"
"1","10.641129032258064","0.004015933133080842","0.09397499052671467","0.0","SNC2","2","2","20","0.249","6.9534E-6","-0.112","0.06928","0.559","4.4793E-5","false","false",,"Unclustered","0.6666666666666666","YOR327C","3.5","0","2","0","0.46438172043010756","false","0","YOR327C","602","0.625"
"1","11.629032258064516","1.6324931435287973E-5","0.08599167822468794","0.0","DDI1","2","2","21","0.282","5.6125E-6","0.255","8.6796E-6","0.179","0.018361","false","false",,"Unclustered","0.6666666666666666","YER143W","2.0","0","2","0","0.40949820788530467","false","0","YER143W","2","1.0"
"1","10.641129032258064","0.004015933133080842","0.09397499052671467","0.0","SNC1","2","2","20","-0.05","0.18782","0.027","0.55374","0.003","0.95396","false","false",,"Unclustered","0.6666666666666666","YAL030W","3.5","0","2","0","0.46438172043010756","false","0","YAL030W","602","0.625"
"1","6.943548387096774","0.028564800565910695","0.1440185830429733","0.0","ADH1","2","2","17","-0.113","0.0039297","0.245","3.2186E-4","-0.322","1.3104E-5","false","false",,"Unclustered","0.6666666666666666","YOL086C","12.0","0","2","0","0.6698028673835126","false","0","YOL086C","15414","0.6470588235294118"
"1","6.943548387096774","0.028564800565910695","0.1440185830429733","0.0","TPI1","2","2","17","-0.584","3.6468E-10","0.053","0.48903","-0.728","8.6735E-12","false","false",,"Unclustered","0.6666666666666666","YDR050C","12.0","0","2","0","0.6698028673835126","false","0","YDR050C","15414","0.6470588235294118"
"1","7.221774193548387","0.031213268904270605","0.13847012841987716","0.0","RPL25","2","2","17","-0.192","4.4813E-4","-0.425","9.2415E-7","0.076","0.17224","false","false",,"Unclustered","0.6666666666666666","YOL127W","12.5","0","2","0","0.6543458781362007","false","0","YOL127W","9108","0.5227272727272727"
"1","7.286290322580645","0.0","0.13724405091311567","0.0","RPS24B","1","1","17","-0.313","7.7038E-6","-0.467","1.0186E-6","-0.018","0.74944","false","false",,"Unclustered","0.0","YIL069C","17.0","0","1","0","0.6507616487455198","false","0","YIL069C","0","0.0"
"1","7.286290322580645","0.0","0.13724405091311567","0.0","RPS24A","1","1","17","-0.262","1.8517E-5","-0.449","2.1168E-6","-0.051","0.44216","false","false",,"Unclustered","0.0","YER074W","17.0","0","1","0","0.6507616487455198","false","0","YER074W","0","0.0"
